,0
0,ADA2
1,ADNP
2,AEBP2
3,AFF1
4,AFF4
5,AGO1
6,AGO2
7,AHR
8,AHRR
9,AMH
10,APC
11,APOBEC3B
12,APP
13,AR
14,ARID1A
15,ARID1B
16,ARID2
17,ARID3A
18,ARID3B
19,ARID4B
20,ARID5B
21,ARNT
22,ARNTL
23,ARRB1
24,ASCL1
25,ASCL2
26,ASF1A
27,ASH1L
28,ASH2L
29,ATF1
30,ATF2
31,ATF3
32,ATF4
33,ATF5
34,ATF6
35,ATF7
36,ATF7IP
37,ATOH1
38,ATRX
39,ATXN7L3
40,AUTS2
41,BACH1
42,BACH2
43,BAHD1
44,BAP1
45,BARHL1
46,BARX1
47,BARX2
48,BATF
49,BATF3
50,BCHE
51,BCL11A
52,BCL11B
53,BCL3
54,BCL6
55,BCL6B
56,BCLAF1
57,BCOR
58,BDP1
59,BHLHE40
60,BICRA
61,BMI1
62,BPTF
63,BRCA1
64,BRCA2
65,BRD1
66,BRD2
67,BRD3
68,BRD4
69,BRD7
70,BRD9
71,BRPF3
72,CASZ1
73,CAT
74,CAVIN1
75,CBFA2T2
76,CBFA2T3
77,CBFB
78,CBX1
79,CBX2
80,CBX3
81,CBX5
82,CBX6
83,CBX7
84,CBX8
85,CC2D1A
86,CCAR2
87,CCND2
88,CCNT2
89,CDC5L
90,CDC73
91,CDK12
92,CDK2
93,CDK7
94,CDK8
95,CDK9
96,CDKN1B
97,CDX2
98,CEBPA
99,CEBPB
100,CEBPD
101,CEBPG
102,CEBPZ
103,CENPA
104,CHAF1B
105,CHAMP1
106,CHD1
107,CHD2
108,CHD4
109,CHD7
110,CHD8
111,CIC
112,CIITA
113,CLOCK
114,CNOT3
115,COBLL1
116,CPSF3
117,CREB1
118,CREB3
119,CREB3L1
120,CREB3L4
121,CREB5
122,CREBBP
123,CREM
124,CRTC2
125,CRY1
126,CSHL1
127,CSNK2A1
128,CTBP1
129,CTBP2
130,CTCF
131,CTCFL
132,CTNNB1
133,CUL4A
134,CUX1
135,CXXC1
136,CXXC4
137,DACH1
138,DAXX
139,DBP
140,DCP1A
141,DDIT3
142,DDX20
143,DDX21
144,DDX5
145,DEAF1
146,DEK
147,DIDO1
148,DLX1
149,DLX2
150,DLX4
151,DLX6
152,DMAP1
153,DMC1
154,DMRT1
155,DNMT1
156,DNMT3A
157,DNMT3B
158,DOT1L
159,DPF2
160,DRAP1
161,DTL
162,DUX4
163,DYRK1A
164,E2F1
165,E2F2
166,E2F3
167,E2F4
168,E2F5
169,E2F6
170,E2F7
171,E2F8
172,E4F1
173,EBF1
174,EBF3
175,EBNA1BP2
176,EBP
177,EED
178,EGR1
179,EGR2
180,EGR3
181,EHF
182,EHMT2
183,ELF1
184,ELF2
185,ELF3
186,ELF4
187,ELK1
188,ELK3
189,ELK4
190,ELL2
191,EMSY
192,EMX1
193,EN1
194,EOMES
195,EP300
196,EP400
197,EPAS1
198,ERCC2
199,ERCC3
200,ERCC6
201,ERF
202,ERG
203,ESCO2
204,ESR1
205,ESR2
206,ESRRA
207,ETS1
208,ETS2
209,ETV1
210,ETV2
211,ETV4
212,ETV5
213,ETV6
214,ETV7
215,EWSR1
216,EZH2
217,F10
218,FANCD2
219,FEV
220,FEZF1
221,FGFR1
222,FIP1L1
223,FLI1
224,FOS
225,FOSB
226,FOSL1
227,FOSL2
228,FOXA1
229,FOXA2
230,FOXA3
231,FOXC1
232,FOXD2
233,FOXE1
234,FOXG1
235,FOXH1
236,FOXJ2
237,FOXK1
238,FOXK2
239,FOXM1
240,FOXN3
241,FOXO1
242,FOXO3
243,FOXP1
244,FOXP2
245,FOXP3
246,FUS
247,FXR1
248,FXR2
249,GABPA
250,GABPB1
251,GATA1
252,GATA2
253,GATA3
254,GATA4
255,GATA6
256,GATAD1
257,GATAD2A
258,GATAD2B
259,GCM2
260,GFI1
261,GFI1B
262,GLI1
263,GLI2
264,GLI3
265,GLI4
266,GLIS1
267,GLIS2
268,GLIS3
269,GMEB1
270,GMEB2
271,GREB1
272,GRHL1
273,GRHL2
274,GRHL3
275,GTF2A2
276,GTF2B
277,GTF2F1
278,GTF3C2
279,GTF3C5
280,GUCY1B3
281,H2AFZ
282,HAND1
283,HAND2
284,HBP1
285,HBZ
286,HCFC1
287,HDAC1
288,HDAC2
289,HDAC3
290,HDAC4
291,HDAC6
292,HDGF
293,HDGFL2
294,HDGFL3
295,HES1
296,HES2
297,HEXIM1
298,HEY1
299,HEYL
300,HHEX
301,HIC1
302,HIF1A
303,HIF3A
304,HINFP
305,HIRA
306,HIST1H1T
307,HLF
308,HMBOX1
309,HMG20A
310,HMG20B
311,HMGA1
312,HMGB1
313,HMGB2
314,HMGN3
315,HMGXB4
316,HNF1A
317,HNF1B
318,HNF4A
319,HNF4G
320,HNRNPC
321,HNRNPH1
322,HNRNPK
